Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
18:10:00,Saturday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Governmental,Unknown,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,5,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
11:02:00,Thursday,31-50,Male,Junior high school,Owner,2-5yr,Automobile,Owner,Above 10yr,No defect, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,4,Moving Backward,Pedestrian,Female,31-50,3,,,Crossing from driver's nearside,Changing lane to the right,Slight Injury
17:43:00,Friday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Above 10yr,No defect,Residential areas,,Tangent road with flat terrain,No junction,Other,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,2,1,Other,Pedestrian,Female,31-50,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Slight Injury
10:36:00,Friday,31-50,Male,Unknown,Employee,Below 1yr,Ridden horse,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
21:25:00,Thursday,Unknown,Male,,,,Public (12 seats),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Other,Collision with roadside objects,2,1,Reversing,Driver or rider,Male,Under 18,2,,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
11:22:00,Saturday,Under 18,Male,Junior high school,Employee,5-10yr,Long lorry,Owner,,, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving to the left,Slight Injury
17:41:00,Monday,18-30,Male,Junior high school,Employee,1-2yr,,Owner,Unknown,No defect,Other,other,Tangent road with flat terrain,,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
9:52:00,Friday,Over 51,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Unknown,,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Passenger,Male,31-50,3,,,Not a Pedestrian,No priority to vehicle,Serious Injury
16:05:00,Tuesday,Over 51,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,5,Going straight,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
22:05:00,Friday,18-30,Male,High school,Employee,5-10yr,Pick up upto 10Q,Owner,,No defect, Outside rural areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,3,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Serious Injury
8:05:00,Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Other,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,2,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Overturning,Slight Injury
18:26:00,Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,5-10yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Pedestrian,Male,18-30,3,,,Not a Pedestrian,No priority to vehicle,Slight Injury
15:55:00,Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,,Other,Undivided Two way,Tangent road with flat terrain,,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Serious Injury
12:59:00,Tuesday,31-50,Male,Elementary school,Owner,,Pick up upto 10Q,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Overtaking,Slight Injury
1:59:00,Monday,Unknown,Male,High school,Employee,5-10yr,Public (> 45 seats),Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
16:30:00,Monday,31-50,Male,Elementary school,Employee,2-5yr,Automobile,Owner,Above 10yr,,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,Other,Normal,Not a Pedestrian,No priority to pedestrian,Serious Injury
3:39:00,Friday,Unknown,Female,High school,Employee,Above 10yr,Public (13?45 seats),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,1,Going straight,Passenger,Female,Over 51,3,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Serious Injury
21:32:00,Thursday,31-50,Male,Elementary school,Employee,5-10yr,,Owner,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Other,Slight Injury
0:30:00,Tuesday,31-50,Male,Junior high school,Employee,Below 1yr,Other,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Other,na,na,na,na,,,Not a Pedestrian,Changing lane to the left,Slight Injury
8:30:00,Monday,18-30,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,1-2yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Under 18,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
19:32:00,Friday,18-30,Male,Above high school,Employee,2-5yr,Lorry (41?100Q),,,,Unknown,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Other,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
12:29:00,Tuesday,18-30,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Unknown,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,6,2,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
7:50:00,Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Governmental,,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
15:18:00,Monday,31-50,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,Above 10yr,, Church areas,Two-way (divided with broken lines road marking),Steep grade upward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Under 18,3,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Serious Injury
12:44:00,Monday,31-50,Male,Elementary school,Employee,Below 1yr,Public (13?45 seats),Owner,Unknown,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,31-50,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,Serious Injury
8:30:00,Wednesday,31-50,Male,Writing & reading,Employee,5-10yr,Long lorry,Owner,1-2yr,No defect, Industrial areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
9:30:00,Saturday,18-30,Male,High school,Owner,2-5yr,Public (12 seats),Owner,2-5yrs,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,3,3,Going straight,Driver or rider,Male,18-30,3,Employee,Normal,Not a Pedestrian,Moving Backward,Slight Injury
17:10:00,Saturday,18-30,Male,Elementary school,Employee,5-10yr,Stationwagen,Owner,Unknown,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Serious Injury
17:34:00,Friday,Over 51,Male,Junior high school,Owner,2-5yr,Pick up upto 10Q,Governmental,1-2yr,,Other,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Overspeed,Serious Injury
18:05:00,Sunday,Unknown,Female,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Female,31-50,3,Driver,Normal,Not a Pedestrian,Turnover,Slight Injury
21:38:00,Wednesday,Unknown,Female,Above high school,Owner,5-10yr,Automobile,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Entering a junction,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
15:43:00,Monday,Unknown,Female,Junior high school,Owner,2-5yr,,Owner,Unknown,No defect,Other,other,Tangent road with flat terrain,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Serious Injury
20:05:00,Friday,Unknown,Female,Junior high school,Owner,Below 1yr,Lorry (41?100Q),Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
15:30:00,Monday,18-30,Male,Elementary school,Employee,2-5yr,Automobile,Governmental,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,2,1,Going straight,Pedestrian,Female,18-30,3,Self-employed,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving under the influence of drugs,Serious Injury
1:49:00,Monday,31-50,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,1-2yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Moving Backward,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
12:43:00,Thursday,31-50,Male,Junior high school,Employee,2-5yr,Public (> 45 seats),Organization,Unknown,,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Female,31-50,3,,,Not a Pedestrian,No priority to vehicle,Slight Injury
20:30:00,Sunday,Over 51,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Waiting to go,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
17:10:00,Tuesday,Unknown,Male,Junior high school,Employee,1-2yr,Automobile,Owner,,No defect,Office areas,other,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,18-30,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right,Slight Injury
11:30:00,Tuesday,31-50,Male,Junior high school,Employee,,Public (> 45 seats),Owner,2-5yrs,,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,4,Going straight,Passenger,Male,Under 18,3,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
4:00:00,Friday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,1-2yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Turnover,na,na,na,na,Other,Normal,Not a Pedestrian,Changing lane to the left,Fatal injury
16:15:00,Friday,Over 51,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,,, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,,Not a Pedestrian,Changing lane to the left,Slight Injury
6:45:00,Monday,31-50,Male,High school,Owner,2-5yr,Public (13?45 seats),Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
17:01:00,Wednesday,31-50,Male,High school,Employee,,Automobile,Owner,,,School areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,3,1,Other,na,na,na,na,Driver,Normal,Not a Pedestrian,Turnover,Slight Injury
19:08:00,Monday,18-30,Male,Elementary school,Owner,Above 10yr,Long lorry,,,,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Reversing,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
7:50:00,Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Turbo,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
13:30:00,Monday,Over 51,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,2-5yrs,No defect,Office areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Self-employed,,Not a Pedestrian,Changing lane to the left,Slight Injury
21:45:00,Monday,Unknown,Male,Junior high school,Employee,Above 10yr,Long lorry,Owner,,No defect, Hospital areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Collision with animals,4,1,Going straight,Driver or rider,Male,31-50,3,Student,Normal,Not a Pedestrian,Moving Backward,Slight Injury
19:40:00,Wednesday,18-30,Male,Elementary school,Owner,Above 10yr,Public (13?45 seats),Owner,2-5yrs,,Office areas,One way,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Moving Backward,Passenger,Female,18-30,2,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
15:30:00,Friday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,  Recreational areas,One way,Tangent road with flat terrain,,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,4,1,Turnover,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
13:43:00,Monday,Over 51,Male,Elementary school,Employee,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
17:36:00,Sunday,18-30,Male,Junior high school,Employee,,Other,Owner,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Female,31-50,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
8:20:00,Tuesday,18-30,Male,Junior high school,Employee,Below 1yr,Long lorry,Owner,5-10yrs,No defect,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Driver or rider,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Moving Backward,Serious Injury
17:56:00,Friday,Unknown,Male,High school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Getting off,Passenger,Male,31-50,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
16:05:00,Wednesday,Over 51,Male,Junior high school,Owner,1-2yr,Motorcycle,Owner,,,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Pedestrian,Female,18-30,3,Employee,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
21:30:00,Wednesday,31-50,Male,Junior high school,Employee,,Lorry (41?100Q),Owner,,,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
16:40:00,Saturday,18-30,Male,,,,,,,,Office areas,,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,With Train,2,1,Going straight,Passenger,Female,18-30,3,,Other,Not a Pedestrian,Changing lane to the right,Slight Injury
8:30:00,Monday,18-30,Male,Elementary school,Employee,1-2yr,Public (13?45 seats),Governmental,,No defect,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,31-50,2,Driver,Normal,Not a Pedestrian,Driving to the left,Slight Injury
9:45:00,Friday,Over 51,Male,Above high school,Employee,Above 10yr,Automobile,Owner,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
8:58:00,Friday,31-50,Male,Elementary school,Employee,2-5yr,Lorry (11?40Q),Owner,2-5yrs,No defect,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Other,Driver or rider,Male,31-50,3,Other,Normal,Not a Pedestrian,Changing lane to the left,Serious Injury
20:01:00,Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Reversing,Pedestrian,Female,31-50,3,,,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Slight Injury
10:55:00,Sunday,18-30,Male,Junior high school,Employee,2-5yr,Public (12 seats),Governmental,,No defect,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,2,Other,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
9:05:00,Monday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Governmental,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Pedestrian,Male,18-30,3,Driver,,Unknown or other,Changing lane to the left,Slight Injury
20:30:00,Sunday,Unknown,Male,Junior high school,Owner,5-10yr,Other,Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,,1,1,Going straight,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
20:30:00,Sunday,Over 51,Male,Elementary school,Employee,1-2yr,Other,Owner,Unknown,,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,6,Turnover,Driver or rider,Male,18-30,2,,,Not a Pedestrian,Moving Backward,Slight Injury
21:46:00,Wednesday,31-50,Male,Elementary school,Owner,5-10yr,Pick up upto 10Q,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,,,Not a Pedestrian,Overtaking,Slight Injury
17:43:00,Friday,18-30,Male,Above high school,Employee,2-5yr,Automobile,Owner,2-5yrs,No defect,  Market areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Pedestrian,Male,Under 18,2,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to pedestrian,Slight Injury
20:20:00,Wednesday,18-30,Male,Junior high school,Employee,1-2yr,Other,Owner,1-2yr,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,Other,Slight Injury
21:41:00,Friday,18-30,Male,Junior high school,Employee,1-2yr,,Owner,,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Turnover,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
8:08:00,Tuesday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),,,,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Employee,Normal,Not a Pedestrian,Overtaking,Serious Injury
18:55:00,Thursday,31-50,Male,Elementary school,Owner,2-5yr,Other,Owner,1-2yr,No defect,,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Other,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Fatal injury
17:25:00,Friday,31-50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Governmental,Below 1yr,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,,Dry,Daylight,Unknown,Vehicle with vehicle collision,3,3,Going straight,Driver or rider,Male,31-50,2,Employee,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
7:45:00,Wednesday,18-30,Male,Elementary school,Employee,5-10yr,Automobile,Owner,5-10yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,,,Not a Pedestrian,Driving carelessly,Slight Injury
15:25:00,Monday,Under 18,Male,Junior high school,Employee,1-2yr,Lorry (11?40Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Windy,Collision with roadside objects,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Overturning,Slight Injury
5:49:00,Tuesday,Under 18,Male,High school,Employee,1-2yr,Public (12 seats),Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
13:10:00,Saturday,Unknown,Female,Elementary school,Employee,2-5yr,Automobile,Governmental,Unknown,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,3,,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
20:30:00,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Public (> 45 seats),Governmental,Below 1yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
20:30:00,Saturday,18-30,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,4,3,Going straight,Driver or rider,Male,5,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
19:40:00,Friday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
10:13:00,Thursday,31-50,Male,,Owner,5-10yr,Automobile,Owner,Unknown,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Under 18,2,Driver,Normal,Not a Pedestrian,No distancing,Serious Injury
